B09,Hs.190622,NM_014314,DDX58,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58,RIG-I/RIGI/RLR-1/SGMRT2,PPH20774A
B10,Hs.2007,NM_000639,FASLG,"Fas ligand (TNF superfamily, member 6)",ALPS1B/APT1LG1/APTL/CD178/CD95-L/CD95L/FASL/TNFSF6,PPH00142C
B11,Hs.247700,NM_014009,FOXP3,Forkhead box P3,AIID/DIETER/IPEX/JM2/PIDX/XPID,PPH00029C
B12,Hs.524134,NM_002051,GATA3,GATA binding protein 3,HDR/HDRS,PPH02143A
C01,Hs.181244,NM_002116,HLA-A,"Major histocompatibility complex, class I, A",HLAA,PPH05978F
C02,Hs.650174,NM_005516,HLA-E,"Major histocompatibility complex, class I, E",EA1.2/EA2.1/HLA-6.2/MHC/QA1,PPH18633B
C03,Hs.643447,NM_000201,ICAM1,Intercellular adhesion molecule 1,BB2/CD54/P3.58,PPH00640F
C04,Hs.37026,NM_024013,IFNA1,"Interferon, alpha 1",IFL/IFN/IFN-ALPHA/IFN-alphaD/IFNA13/IFNA@,PPH01321B
C05,Hs.529400,NM_000629,IFNAR1,"Interferon (alpha, beta and omega) receptor 1",AVP/IFN-alpha-REC/IFNAR/IFNBR/IFRC,PPH00869F
C06,Hs.93177,NM_002176,IFNB1,"Interferon, beta 1, fibroblast",IFB/IFF/IFN-beta/IFNB,PPH00384F
C07,Hs.856,NM_000619,IFNG,"Interferon, gamma",IFG/IFI,PPH00380C
C08,Hs.520414,NM_000416,IFNGR1,Interferon gamma receptor 1,CD119/IFNGR/IMD27A/IMD27B,PPH00871B
C09,Hs.193717,NM_000572,IL10,Interleukin 10,CSIF/GVHDS/IL-10/IL10A/TGIF,PPH00572C
C10,Hs.845,NM_002188,IL13,Interleukin 13,IL-13/P600,PPH00688F
C11,Hs.41724,NM_002190,IL17A,Interleukin 17A,CTLA-8/CTLA8/IL-17/IL-17A/IL17,PPH00537C
C12,Hs.83077,NM_001562,IL18,Interleukin 18 (interferon-gamma-inducing factor),IGIF/IL-18/IL-1g/IL1F4,PPH00580C
D01,Hs.1722,NM_000575,IL1A,"Interleukin 1, alpha",IL-1A/IL1/IL1-ALPHA/IL1F1,PPH00690A
D02,Hs.126256,NM_000576,IL1B,"Interleukin 1, beta",IL-1/IL1-BETA/IL1F2,PPH00171C
D03,Hs.701982,NM_000877,IL1R1,"Interleukin 1 receptor, type I",CD121A/D2S1473/IL-1R-alpha/IL1R/IL1RA/P80,PPH00274A
D04,Hs.89679,NM_000586,IL2,Interleukin 2,IL-2/TCGF/lymphokine,PPH00172C
D05,Hs.98309,NM_016584,IL23A,"Interleukin 23, alpha subunit p19",IL-23/IL-23A/IL23P19/P19/SGRF,PPH01688B
D06,Hs.73917,NM_000589,IL4,Interleukin 4,BCGF-1/BCGF1/BSF-1/BSF1/IL-4,PPH00565B
D07,Hs.2247,NM_000879,IL5,"Interleukin 5 (colony-stimulating factor, eosinophil)",EDF/IL-5/TRF,PPH00692B
D08,Hs.654458,NM_000600,IL6,"Interleukin 6 (interferon, beta 2)",BSF2/HGF/HSF/IFNB2/IL-6,PPH00560C
D09,Hs.624,NM_000584,CXCL8,Interleukin 8,GCP-1/GCP1/IL8/LECT/LUCT/LYNAP/MDNCF/MONAP/NAF/NAP-1/NAP1,PPH00568A
D10,Hs.522819,NM_001569,IRAK1,Interleukin-1 receptor-associated kinase 1,IRAK/pelle,PPH00835A
D11,Hs.289052,NM_001571,IRF3,Interferon regulatory factor 3,-,PPH02025B
D12,Hs.166120,NM_001572,IRF7,Interferon regulatory factor 7,IMD39/IRF-7H/IRF7A/IRF7B/IRF7C/IRF7H,PPH02014F
E01,Hs.172631,NM_000632,ITGAM,"Integrin, alpha M (complement component 3 receptor 3 subunit)",CD11B/CR3A/MAC-1/MAC1A/MO1A/SLEB6,PPH00644F
E02,Hs.656213,NM_004972,JAK2,Janus kinase 2,JTK10/THCYT3,PPH00758C
E03,Hs.726603,NM_015364,LY96,Lymphocyte antigen 96,ESOP-1/MD-2/MD2/ly-96,PPH06052A
E04,Hs.524579,NM_000239,LYZ,Lysozyme,LZM,PPH14748A
E05,Hs.431850,NM_002745,MAPK1,Mitogen-activated protein kinase 1,ERK/ERK-2/ERK2/ERT1/MAPK2/P42MAPK/PRKM1/PRKM2/p38/p40/p41/p41mapk/p42-MAPK,PPH00715B
E06,Hs.138211,NM_002750,MAPK8,Mitogen-activated protein kinase 8,JNK/JNK-46/JNK1/JNK1A2/JNK21B1/2/PRKM8/SAPK1/SAPK1c,PPH00720B
E07,Hs.499674,NM_000242,MBL2,"Mannose-binding lectin (protein C) 2, soluble",COLEC1/HSMBPC/MBL/MBL2D/MBP/MBP-C/MBP1/MBPD,PPH07136I
E08,Hs.458272,NM_000250,MPO,Myeloperoxidase,-,PPH06082F
E09,Hs.517307,NM_002462,MX1,"Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)",IFI-78K/IFI78/MX/MxA,PPH01325A
E10,Hs.82116,NM_002468,MYD88,Myeloid differentiation primary response gene (88),MYD88D,PPH00911B
E11,Hs.618430,NM_003998,NFKB1,Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,EBP-1/KBF1/NF-kB1/NF-kappa-B/NF-kappaB/NFKB-p105/NFKB-p50/NFkappaB/p105/p50,PPH00204F
E12,Hs.81328,NM_020529,NFKBIA,"Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",IKBA/MAD-3/NFKBI,PPH00170F
F01,Hs.159483,NM_183395,NLRP3,"NLR family, pyrin domain containing 3",AGTAVPRL/AII/AVP/C1orf7/CIAS1/CLR1.1/FCAS/FCAS1/FCU/MWS/NALP3/PYPAF1,PPH13170A
F02,Hs.738731,NM_006092,NOD1,Nucleotide-binding oligomerization domain containing 1,CARD4/CLR7.1/NLRC1,PPH00891C
F03,Hs.592072,NM_022162,NOD2,Nucleotide-binding oligomerization domain containing 2,ACUG/BLAU/CARD15/CD/CLR16.3/IBD1/NLRC2/NOD2B/PSORAS1,PPH06126F
F04,Hs.538979,NM_000448,RAG1,Recombination activating gene 1,RAG-1/RNF74,PPH09892A
F05,Hs.256022,NM_005060,RORC,RAR-related orphan receptor C,NR1F3/RORG/RZR-GAMMA/RZRG/TOR,PPH05877A
F06,Hs.591607,NM_000578,SLC11A1,"Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",LSH/NRAMP/NRAMP1,PPH05732F
F07,Hs.642990,NM_007315,STAT1,"Signal transducer and activator of transcription 1, 91kDa",CANDF7/IMD31A/IMD31B/IMD31C/ISGF-3/STAT91,PPH00811C
F08,Hs.463059,NM_003150,STAT3,Signal transducer and activator of transcription 3 (acute-phase response factor),ADMIO/APRF/HIES,PPH00708F
F09,Hs.80642,NM_003151,STAT4,Signal transducer and activator of transcription 4,SLEB11,PPH00777F
F10,Hs.524518,NM_003153,STAT6,"Signal transducer and activator of transcription 6, interleukin-4 induced",D12S1644/IL-4-STAT/STAT6B/STAT6C,PPH00760D
F11,Hs.272409,NM_013351,TBX21,T-box 21,T-PET/T-bet/TBET/TBLYM,PPH00396A
F12,Hs.29344,NM_182919,TICAM1,Toll-like receptor adaptor molecule 1,IIAE6/MyD88-3/PRVTIRB/TICAM-1/TRIF,PPH06044A
G01,Hs.654532,NM_003263,TLR1,Toll-like receptor 1,CD281/TIL/TIL. LPRS5/rsc786,PPH01799A
G02,Hs.519033,NM_003264,TLR2,Toll-like receptor 2,CD282/TIL4,PPH01808A
G03,Hs.657724,NM_003265,TLR3,Toll-like receptor 3,CD283/IIAE2,PPH01803E
G04,Hs.174312,NM_138554,TLR4,Toll-like receptor 4,ARMD10/CD284/TLR-4/TOLL,PPH01795F
G05,Hs.604542,NM_003268,TLR5,Toll-like receptor 5,MELIOS/SLE1/SLEB1/TIL3,PPH01793F
G06,Hs.575090,NM_006068,TLR6,Toll-like receptor 6,CD286,PPH01798E
G07,Hs.659215,NM_016562,TLR7,Toll-like receptor 7,TLR7-like,PPH01796A
G08,Hs.660543,NM_138636,TLR8,Toll-like receptor 8,CD288,PPH01801B
G09,Hs.87968,NM_017442,TLR9,Toll-like receptor 9,CD289,PPH01809A
G10,Hs.241570,NM_000594,TNF,Tumor necrosis factor,DIF/TNF-alpha/TNFA/TNFSF2,PPH00341F
G11,Hs.591983,NM_004620,TRAF6,TNF receptor-associated factor 6,MGC:3310/RNF85,PPH00329B
G12,Hs.75516,NM_003331,TYK2,Tyrosine kinase 2,IMD35/JTK1,PPH00775A
H01,Hs.520640,NM_001101,ACTB,"Actin, beta",BRWS1/PS1TP5BP1,PPH00073G
H02,Hs.534255,NM_004048,B2M,Beta-2-microglobulin,-,PPH01094E
H03,Hs.592355,NM_002046,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,G3PD/GAPD/HEL-S-162eP,PPH00150F
H04,Hs.412707,NM_000194,HPRT1,Hypoxanthine phosphoribosyltransferase 1,HGPRT/HPRT,PPH01018C
H05,Hs.546285,NM_001002,RPLP0,"Ribosomal protein, large, P0",L10E/LP0/P0/PRLP0/RPP0,PPH21138F
H06,N/A,SA_00105,HGDC,Human Genomic DNA Contamination,HIGX1A,
H07,N/A,SA_00104,RTC,Reverse Transcription Control,RTC,PPX63340A
H08,N/A,SA_00104,RTC,Reverse Transcription Control,RTC,PPX63340A
H09,N/A,SA_00104,RTC,Reverse Transcription Control,RTC,PPX63340A
H10,N/A,SA_00103,PPC,Positive PCR Control,PPC,
H11,N/A,SA_00103,PPC,Positive PCR Control,PPC,
H12,N/A,SA_00103,PPC,Positive PCR Control,PPC,

